Data Date,Created At,Trip ID,Sender ID,Content,Trip Info → Driver ID,Vehicle Telemetry 1min - Driver → Vhs,Vehicle Telemetry 1min - Driver → Location Lat,Vehicle Telemetry 1min - Driver → Location Lon
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,0,13.81375980° N,100.53118280° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,4,13.81377760° N,100.53128210° E
"May 25, 2026","May 25, 2026, 07:27",6a1392ab06116e01335966a8,69e487ebaa730ec3ef599292,รถมาล่าช้า,xHry3PSSsYXteaHus,23,13.81326670° N,100.53141000° E
